=== FINAL SESSION METRICS ===
Timestamp: 2026-03-28 14:29:40
Session Duration: 09:59:53
Total Orders: 1560
Total Trades: 1329
Total Fees: 17.4679 USDT
Final Balance: 31.06 USDT
Overall Win Rate: 36.5%
Average TPM: 2.22

=== ACTIVE ASSET LIST ===
ETHUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.07
1153  10M  XLMUSDT      SHORT  0.1694     N/A        0.1709     -0.1865    0.0082     10     0.1697/0.1693          0.1699/0.1693          0.1716/0.1693          SL        
1200  5M   MANAUSDT     LONG   0.0831     N/A        0.0829     -0.0605    0.0075     10     0.0830/0.0829          0.0830/0.0829          0.0833/0.0829          SL        
1123  10M  RLSUSDT      LONG   0.0036     0.0036     0.0036     0.1531     0.0083     10     0.0036/0.0036          0.0036/0.0036          0.0036/0.0036          TSL       
1191  15M  STOUSDT      LONG   0.1147     N/A        0.1124     -0.3945    0.0079     20     0.1147/0.1131          0.1158/0.1114          0.1159/0.1114          LIQ       
1147  10M  BRUSDT       SHORT  0.1161     N/A        0.1185     -0.4111    0.0082     20     0.1173/0.1164          0.1176/0.1163          0.1212/0.1161          LIQ       
848   10M  PIUSDT       LONG   0.1824     N/A        0.1791     -0.5568    0.0121     70     0.1817/0.1803          0.1817/0.1800          0.1817/0.1797          SL        
1162  5M   MEMEUSDT     SHORT  0.0005     N/A        0.0005     -0.1551    0.0082     10     0.0005/0.0005          0.0005/0.0005          0.0005/0.0005          SL        
1158  15M  YBUSDT       SHORT  0.1089     0.1077     0.1080     0.2031     0.0082     10     0.1091/0.1088          0.1091/0.1074          0.1091/0.1065          TSL       
1199  5M   RAYUSDT      SHORT  0.5719     N/A        0.5725     -0.0227    0.0079     10     0.5723/0.5723          0.5727/0.5721          0.5727/0.5714          SL        
1170  5M   HOMEUSDT     LONG   0.0190     0.0192     0.0191     0.1692     0.0083     10     0.0190/0.0189          0.0191/0.0189          0.0192/0.0189          TSL       
1101  5M   KASUSDT      LONG   0.0354     N/A        0.0352     -0.1276    0.0083     20     0.0354/0.0353          0.0354/0.0352          0.0354/0.0352          SL        
1132  5M   THETAUSDT    SHORT  0.1554     N/A        0.1564     -0.1373    0.0083     10     0.1559/0.1556          0.1559/0.1556          0.1560/0.1556          SL        
1140  5M   OLUSDT       SHORT  0.0118     N/A        0.0119     -0.1934    0.0083     10     0.0118/0.0118          0.0118/0.0118          0.0118/0.0118          SL        
1111  20M  BABYUSDT     LONG   0.0134     N/A        0.0133     -0.2038    0.0083     30     0.0134/0.0133          0.0134/0.0132          0.0134/0.0132          SL        
939   25M  XPTUSDT      SHORT  1868.6252  1865.6600  1866.8845  0.0306     0.0105     10     1869.5700/1869.2400    1869.5700/1867.7900    1869.5700/1865.5000    TSL       
1194  5M   DENTUSDT     LONG   0.0002     N/A        0.0002     -0.0669    0.0079     10     0.0002/0.0002          0.0002/0.0002          0.0002/0.0002          SL        
1117  5M   ALICEUSDT    LONG   0.1085     N/A        0.1077     -0.1521    0.0084     30     0.1083/0.1082          0.1083/0.1082          0.1083/0.1082          SL        
1110  10M  BABYUSDT     LONG   0.0134     N/A        0.0133     -0.1415    0.0083     10     0.0134/0.0133          0.0134/0.0133          0.0134/0.0132          SL        
1143  5M   ZECUSDT      SHORT  218.6900   217.9300   218.2178   0.0562     0.0082     10     218.9500/218.6600      219.3100/218.5500      219.3100/218.4000      TSL       
1146  5M   BRUSDT       SHORT  0.1163     N/A        0.1176     -0.2295    0.0082     10     0.1172/0.1164          0.1176/0.1164          0.1176/0.1163          SL        
1172  5M   LPTUSDT      LONG   2.1021     N/A        2.0988     -0.0361    0.0082     10     2.1010/2.1000          2.1010/2.0970          2.1010/2.0960          SL        
1174  5M   NOTUSDT      LONG   0.0004     0.0004     0.0004     0.0273     0.0083     10     0.0004/0.0004          0.0004/0.0004          0.0004/0.0004          TSL       
1169  5M   STOUSDT      LONG   0.1135     0.1145     0.1142     0.1617     0.0083     10     0.1139/0.1132          0.1147/0.1132          0.1147/0.1121          TSL       
1166  5M   ICPUSDT      LONG   2.2821     N/A        2.2768     -0.0527    0.0083     10     2.2800/2.2780          2.2810/2.2710          2.2810/2.2710          SL        
1173  5M   BOMEUSDT     LONG   0.0004     0.0004     0.0004     0.0414     0.0083     10     0.0004/0.0004          0.0004/0.0004          0.0004/0.0004          TSL       
1182  25M  XANUSDT      SHORT  0.0087     N/A        0.0088     -0.3829    0.0083     10     0.0000/0.0000          0.0000/0.0000          0.0000/0.0000          SL        
1183  5M   MAUSDT       LONG   483.4174   N/A        482.5617   -0.0381    0.0077     50     482.6700/482.6700      483.3400/482.5300      483.4700/482.4600      SL        
1095  5M   IRYSUSDT     LONG   0.0204     N/A        0.0204     0.0348     0.0086     10     0.0204/0.0203          0.0204/0.0203          0.0204/0.0203          TSL       
1148  5M   SAHARAUSDT   SHORT  0.0261     N/A        0.0263     -0.1157    0.0082     10     0.0262/0.0261          0.0262/0.0261          0.0263/0.0261          SL        
1128  5M   WETUSDT      SHORT  0.1035     N/A        0.1041     -0.1112    0.0083     10     0.1038/0.1036          0.1038/0.1035          0.1039/0.1035          SL        
1177  5M   BROCCOLIUSDT LONG   0.0120     N/A        0.0119     -0.0853    0.0083     10     0.0120/0.0120          0.0120/0.0119          0.0120/0.0119          SL        
1161  5M   PYTHUSDT     SHORT  0.0377     N/A        0.0378     -0.0710    0.0082     10     0.0377/0.0377          0.0378/0.0377          0.0378/0.0377          SL        
1179  5M   LINEAUSDT    SHORT  0.0030     N/A        0.0030     -0.0508    0.0083     10     0.0030/0.0030          0.0030/0.0030          0.0030/0.0030          SL        
1176  5M   PHAUSDT      SHORT  0.0353     N/A        0.0354     -0.0691    0.0082     10     0.0354/0.0353          0.0354/0.0352          0.0355/0.0352          SL        
1171  5M   ZILUSDT      LONG   0.0038     N/A        0.0038     -0.0600    0.0083     10     0.0038/0.0038          0.0038/0.0038          0.0038/0.0038          SL        
1160  5M   AZTECUSDT    SHORT  0.0189     N/A        0.0189     0.0071     0.0082     10     0.0189/0.0189          0.0189/0.0188          0.0189/0.0188          TSL       
1178  5M   FORMUSDT     SHORT  0.2496     N/A        0.2500     -0.0415    0.0083     10     0.2508/0.2499          0.2508/0.2499          0.2518/0.2499          SL        
1175  5M   SUNUSDT      LONG   0.0172     0.0172     0.0172     0.0172     0.0082     10     0.0172/0.0172          0.0173/0.0172          0.0173/0.0172          TSL       
1181  10M  AVNTUSDT     SHORT  0.1352     N/A        0.1355     -0.0487    0.0083     10     0.1361/0.1353          0.1373/0.1353          0.1374/0.1353          SL        
1180  5M   HOLOUSDT     SHORT  0.0527     N/A        0.0527     -0.0283    0.0083     10     0.0528/0.0527          0.0528/0.0527          0.0528/0.0527          SL        
1168  20M  SIRENUSDT    SHORT  1.6379     N/A        1.6709     -0.4259    0.0085     80     1.6827/1.6206          1.6827/1.6206          1.6827/1.5728          LIQ       
1167  15M  SIRENUSDT    SHORT  1.6379     N/A        1.6709     -0.4259    0.0085     50     1.6827/1.6206          1.6827/1.6206          1.6827/1.6206          LIQ       
1164  5M   ANIMEUSDT    SHORT  0.0046     N/A        0.0046     0.0040     0.0082     10     0.0046/0.0046          0.0046/0.0046          0.0046/0.0046          TSL       
1151  25M  POWERUSDT    SHORT  0.0795     N/A        0.0792     0.0721     0.0082     10     0.0800/0.0784          0.0802/0.0784          0.0803/0.0783          TSL       
1087  5M   MSFTUSDT     LONG   357.7488   N/A        357.4642   -0.0214    0.0086     10     357.6000/357.5100      357.6000/357.5100      357.6500/357.5100      SL        
1109  25M  OLUSDT       LONG   0.0119     N/A        0.0118     -0.2092    0.0083     10     0.0119/0.0118          0.0120/0.0118          0.0120/0.0118          SL        
841   10M  YGGUSDT      LONG   0.0357     N/A        0.0352     -0.4496    0.0121     10     0.0357/0.0354          0.0357/0.0354          0.0357/0.0354          SL        
815   5M   WLFIUSDT     LONG   0.0990     0.1000     0.0998     0.2613     0.0122     10     0.0989/0.0986          0.0993/0.0985          0.0993/0.0985          TSL       
1031  15M  STOUSDT      SHORT  0.1111     N/A        0.1128     -0.3574    0.0095     10     0.1122/0.1114          0.1122/0.1100          0.1147/0.1100          SL        
1090  5M   EWYUSDT      LONG   120.2901   N/A        120.3410   0.0048     0.0087     10     120.4400/120.1200      120.4800/120.1200      120.5000/120.1200      TSL       
1165  5M   WAVESUSDT    SHORT  0.4270     N/A        0.4282     -0.0646    0.0082     10     0.4273/0.4270          0.4284/0.4270          0.4284/0.4270          SL        
974   10M  SKYAIUSDT    LONG   0.0638     0.0644     0.0643     0.2361     0.0105     10     0.0638/0.0637          0.0638/0.0636          0.0646/0.0636          TSL       
843   15M  FOGOUSDT     LONG   0.0170     N/A        0.0171     0.0933     0.0121     10     0.0171/0.0170          0.0171/0.0169          0.0171/0.0169          TSL       
1125  5M   ACXUSDT      SHORT  0.0425     N/A        0.0427     -0.1051    0.0083     10     0.0426/0.0425          0.0426/0.0424          0.0429/0.0424          SL        
1127  10M  NOMUSDT      LONG   0.0025     0.0026     0.0026     1.0070     0.0083     10     0.0025/0.0024          0.0026/0.0024          0.0028/0.0024          TSL       
1006  10M  KATUSDT      SHORT  0.0119     0.0117     0.0117     0.3402     0.0101     10     0.0119/0.0118          0.0119/0.0118          0.0119/0.0117          TSL       
1118  5M   ROSEUSDT     LONG   0.0107     N/A        0.0106     -0.1933    0.0084     10     0.0107/0.0106          0.0107/0.0106          0.0107/0.0106          SL        
1145  5M   SEIUSDT      SHORT  0.0546     N/A        0.0548     -0.0718    0.0082     10     0.0548/0.0546          0.0548/0.0546          0.0548/0.0545          SL        
1119  5M   THEUSDT      LONG   0.1079     N/A        0.1072     -0.1512    0.0084     10     0.1078/0.1073          0.1080/0.1073          0.1080/0.1071          SL        
964   25M  XMRUSDT      LONG   328.1740   329.5700   329.0485   0.0886     0.0105     20     328.5500/327.7900      329.6600/327.2800      332.4900/327.2800      TSL       
1104  10M  ICNTUSDT     SHORT  0.4425     N/A        0.4419     0.0231     0.0083     10     0.4440/0.4427          0.4447/0.4404          0.4455/0.4404          TSL       
1098  5M   FETUSDT      SHORT  0.2495     0.2474     0.2476     0.1645     0.0084     10     0.2503/0.2483          0.2503/0.2476          0.2504/0.2466          TSL       
1149  5M   PUMPUSDT     SHORT  0.0018     N/A        0.0018     -0.0478    0.0082     10     0.0018/0.0018          0.0018/0.0018          0.0018/0.0017          SL        
1121  5M   UBUSDT       SHORT  0.0292     N/A        0.0294     -0.1531    0.0084     10     0.0293/0.0293          0.0294/0.0292          0.0295/0.0292          SL        
1133  10M  ARUSDT       SHORT  1.7281     N/A        1.7256     0.0269     0.0084     10     1.7310/1.7190          1.7310/1.7190          1.7310/1.7160          TSL       
1115  10M  VVVUSDT      LONG   6.2497     N/A        6.1504     -0.3378    0.0084     20     6.2410/6.1800          6.2410/6.1430          6.2410/6.1250          SL        
1084  5M   CETUSUSDT    LONG   0.0261     N/A        0.0262     0.0473     0.0086     10     0.0262/0.0260          0.0263/0.0260          0.0264/0.0260          TSL       
1126  10M  0GUSDT       LONG   0.4930     N/A        0.4939     0.0335     0.0083     10     0.4962/0.4924          0.4962/0.4916          0.4974/0.4916          TSL       
1103  5M   IPUSDT       LONG   0.5568     N/A        0.5520     -0.1816    0.0083     10     0.5553/0.5542          0.5553/0.5516          0.5553/0.5513          SL        
1129  5M   MANTRAUSDT   SHORT  0.0119     N/A        0.0119     -0.0518    0.0083     10     0.0119/0.0119          0.0119/0.0119          0.0119/0.0119          SL        
1075  5M   B3USDT       SHORT  0.0004     0.0004     0.0004     0.2304     0.0088     10     0.0004/0.0004          0.0004/0.0004          0.0004/0.0004          TSL       
1105  10M  SAHARAUSDT   SHORT  0.0264     0.0262     0.0263     0.1150     0.0084     20     0.0265/0.0262          0.0265/0.0261          0.0265/0.0261          TSL       
1001  5M   OPENUSDT     SHORT  0.1669     0.1664     0.1659     0.1146     0.0102     10     0.1671/0.1664          0.1671/0.1664          0.1671/0.1661          TSL       
1054  5M   GWEIUSDT     SHORT  0.0401     0.0399     0.0400     0.0737     0.0093     10     0.0401/0.0401          0.0401/0.0401          0.0402/0.0400          TSL       
892   5M   ZBTUSDT      SHORT  0.0699     0.0695     0.0692     0.2041     0.0118     10     0.0700/0.0699          0.0700/0.0697          0.0700/0.0696          TSL       
676   15M  ZBTUSDT      SHORT  0.0699     0.0693     0.0692     0.2606     0.0124     20     0.0702/0.0696          0.0702/0.0696          0.0703/0.0696          TSL       
1124  5M   SAPIENUSDT   SHORT  0.0669     N/A        0.0672     -0.1041    0.0084     10     0.0674/0.0669          0.0681/0.0669          0.0681/0.0669          SL        
1029  5M   KAVAUSDT     SHORT  0.0530     N/A        0.0535     -0.2214    0.0095     10     0.0532/0.0532          0.0534/0.0532          0.0534/0.0531          SL        
1071  5M   LAUSDT       LONG   0.1748     0.1753     0.1759     0.1089     0.0094     10     0.1747/0.1746          0.1750/0.1746          0.1767/0.1746          TSL       
1099  20M  WLDUSDT      LONG   0.2750     N/A        0.2716     -0.2646    0.0084     20     0.2742/0.2701          0.2742/0.2701          0.2742/0.2683          SL        
1100  5M   STRKUSDT     LONG   0.0349     N/A        0.0346     -0.1651    0.0084     10     0.0348/0.0347          0.0348/0.0346          0.0348/0.0345          SL        
1122  5M   KGENUSDT     SHORT  0.1991     N/A        0.2000     -0.1071    0.0084     10     0.1998/0.1990          0.2006/0.1990          0.2011/0.1990          SL        
1093  5M   ARMUSDT      LONG   142.4612   144.7800   143.9540   0.2849     0.0085     10     142.3800/142.3800      144.7800/142.3800      144.7800/142.3800      TSL       
1107  5M   ARKMUSDT     LONG   0.0979     N/A        0.0971     -0.1870    0.0083     10     0.0975/0.0973          0.0975/0.0970          0.0975/0.0967          SL        
1106  5M   IMXUSDT      LONG   0.1494     N/A        0.1483     -0.1564    0.0083     30     0.1495/0.1485          0.1495/0.1482          0.1495/0.1482          SL        
1069  5M   OLUSDT       LONG   0.0119     N/A        0.0118     -0.1366    0.0093     10     0.0119/0.0119          0.0119/0.0119          0.0119/0.0119          SL        
1097  20M  DOTUSDT      LONG   1.2960     N/A        1.2869     -0.1502    0.0083     30     1.2930/1.2850          1.2930/1.2830          1.2930/1.2790          SL        
1096  15M  DOTUSDT      LONG   1.2960     N/A        1.2869     -0.1502    0.0083     30     1.2930/1.2860          1.2930/1.2830          1.2930/1.2830          SL        
1113  10M  DOTUSDT      LONG   1.2940     N/A        1.2879     -0.1022    0.0083     10     1.2930/1.2870          1.2930/1.2840          1.2930/1.2830          SL        
1089  5M   POWERUSDT    SHORT  0.0800     N/A        0.0799     0.0137     0.0086     10     0.0803/0.0800          0.0803/0.0796          0.0803/0.0795          TSL       
1016  20M  ENSOUSDT     LONG   1.0848     N/A        1.0871     0.0460     0.0100     20     1.0860/1.0812          1.0943/1.0791          1.0943/1.0687          TSL       
1081  5M   EDENUSDT     LONG   0.0277     0.0278     0.0277     0.0601     0.0088     10     0.0278/0.0277          0.0278/0.0275          0.0278/0.0275          TSL       
956   5M   SOMIUSDT     LONG   0.1559     N/A        0.1560     0.0229     0.0102     10     0.1558/0.1554          0.1561/0.1553          0.1561/0.1553          TSL       
1073  10M  CARVUSDT     LONG   0.0544     0.0545     0.0545     0.0447     0.0088     10     0.0545/0.0543          0.0545/0.0543          0.0545/0.0543          TSL       
1082  10M  SKRUSDT      LONG   0.0182     0.0183     0.0183     0.0697     0.0088     10     0.0184/0.0182          0.0184/0.0182          0.0184/0.0182          TSL       
955   15M  FORMUSDT     SHORT  0.2494     N/A        0.2532     -0.3980    0.0102     10     0.2506/0.2496          0.2520/0.2496          0.2536/0.2496          SL        
853   5M   SAPIENUSDT   SHORT  0.0677     0.0673     0.0670     0.2860     0.0124     10     0.0678/0.0675          0.0678/0.0675          0.0678/0.0671          TSL       
1091  5M   ENJUSDT      LONG   0.0198     0.0199     0.0199     0.0599     0.0086     10     0.0199/0.0198          0.0199/0.0198          0.0199/0.0197          TSL       
918   10M  STGUSDT      SHORT  0.2392     0.2362     0.2354     0.3893     0.0112     10     0.2411/0.2389          0.2411/0.2376          0.2411/0.2352          TSL       
1088  10M  UNHUSDT      SHORT  257.4647   N/A        258.1558   -0.0594    0.0082     10     258.1800/257.4100      258.2500/257.4100      258.2500/257.4100      SL        
1077  5M   UNHUSDT      SHORT  257.4673   N/A        257.6758   -0.0234    0.0093     10     258.1800/257.4100      258.1800/257.4100      258.2500/257.4100      SL        
958   5M   MONUSDT      LONG   0.0223     0.0225     0.0225     0.1806     0.0102     10     0.0223/0.0222          0.0223/0.0222          0.0223/0.0222          TSL       
1068  5M   BANANAUSDT   LONG   3.2766     N/A        3.2785     0.0087     0.0093     10     3.2760/3.2740          3.2760/3.2710          3.2840/3.2710          TSL       
884   15M  TSLAUSDT     LONG   361.5000   362.1600   361.9058   0.0400     0.0116     20     361.5600/361.2700      361.6800/361.2700      362.2000/361.2700      TSL       
1083  5M   NEARUSDT     LONG   1.1816     1.1863     1.1845     0.0670     0.0085     60     1.1866/1.1797          1.1877/1.1797          1.1877/1.1797          TSL       
903   15M  HYPERUSDT    SHORT  0.0810     N/A        0.0807     0.0941     0.0116     10     0.0812/0.0806          0.0812/0.0804          0.0812/0.0800          TSL       
1092  10M  STORJUSDT    SHORT  0.0903     N/A        0.0906     -0.0888    0.0086     10     0.0907/0.0899          0.0907/0.0895          0.0907/0.0893          SL        
1043  5M   XAGUSDT      SHORT  69.8151    N/A        69.8870    -0.0284    0.0092     10     69.8700/69.8600        69.8700/69.8600        69.8800/69.8600        SL        
1041  5M   AMZNUSDT     SHORT  198.6306   N/A        198.8299   -0.0287    0.0095     10     198.8000/198.7100      198.8000/198.6900      198.9600/198.6900      SL        
929   10M  STEEMUSDT    SHORT  0.0571     N/A        0.0576     -0.2534    0.0112     10     0.0573/0.0572          0.0573/0.0572          0.0573/0.0571          SL        
979   10M  VANAUSDT     SHORT  1.2164     N/A        1.2140     0.0448     0.0101     10     1.2190/1.2180          1.2190/1.2080          1.2190/1.2080          TSL       
1050  20M  TIAUSDT      SHORT  0.2989     N/A        0.3005     -0.1307    0.0093     10     0.2993/0.2987          0.3009/0.2985          0.3009/0.2985          SL        
1079  5M   AGLDUSDT     SHORT  0.2314     N/A        0.2322     -0.0842    0.0088     10     0.2325/0.2316          0.2328/0.2315          0.2328/0.2311          SL        
1070  5M   MELANIAUSDT  SHORT  0.1153     N/A        0.1160     -0.1402    0.0093     10     0.1155/0.1155          0.1155/0.1153          0.1164/0.1153          SL        
1027  5M   EWJUSDT      SHORT  81.2218    N/A        81.5382    -0.0998    0.0097     10     81.4300/81.2600        81.5200/81.2600        81.5200/81.2600        SL        
1038  5M   COOKIEUSDT   SHORT  0.0151     N/A        0.0152     -0.0961    0.0093     10     0.0151/0.0151          0.0151/0.0151          0.0152/0.0151          SL        
1051  5M   SUPERUSDT    SHORT  0.1142     N/A        0.1150     -0.1615    0.0093     10     0.1145/0.1144          0.1145/0.1140          0.1154/0.1140          SL        
1057  5M   DASHUSDT     SHORT  32.0640    N/A        32.2532    -0.1429    0.0094     10     32.0900/32.0900        32.2000/32.0900        32.5500/32.0900        SL        
943   10M  SAPIENUSDT   SHORT  0.0670     0.0665     0.0667     0.1521     0.0106     10     0.0671/0.0669          0.0671/0.0669          0.0671/0.0665          TSL       
948   20M  XPLUSDT      SHORT  0.0901     N/A        0.0917     -0.4881    0.0106     10     0.0909/0.0902          0.0914/0.0902          0.0924/0.0902          SL        
1074  5M   PAXGUSDT     LONG   4503.8408  N/A        4501.1098  -0.0181    0.0090     10     4502.2000/4497.6300    4502.2000/4494.6200    4502.2000/4494.6200    SL        
1072  10M  GOOGLUSDT    SHORT  274.1828   N/A        274.4074   -0.0224    0.0088     10     274.4000/274.2500      274.4000/274.2000      274.4500/274.1300      SL        
1013  15M  WLFIUSDT     LONG   0.0992     0.0999     0.0997     0.1305     0.0099     10     0.0995/0.0991          0.1002/0.0991          0.1005/0.0991          TSL       
1055  5M   SUSHIUSDT    SHORT  0.1911     N/A        0.1922     -0.1407    0.0093     10     0.1918/0.1914          0.1918/0.1914          0.1928/0.1914          SL        
868   5M   TURBOUSDT    SHORT  0.0011     N/A        0.0011     -0.3092    0.0121     10     0.0011/0.0011          0.0011/0.0011          0.0011/0.0011          SL        
1067  5M   IOUSDT       SHORT  0.1068     N/A        0.1074     -0.1283    0.0094     10     0.1073/0.1070          0.1073/0.1069          0.1080/0.1069          SL        
1063  5M   PYTHUSDT     SHORT  0.0376     N/A        0.0378     -0.1250    0.0093     10     0.0376/0.0376          0.0377/0.0376          0.0380/0.0376          SL        
1047  5M   OPUSDT       SHORT  0.1044     N/A        0.1051     -0.1529    0.0093     10     0.1046/0.1046          0.1046/0.1044          0.1055/0.1044          SL        
961   5M   TOSHIUSDT    SHORT  0.0002     N/A        0.0002     -0.0881    0.0102     10     0.0002/0.0002          0.0002/0.0002          0.0002/0.0002          SL        
1066  5M   GLMUSDT      SHORT  0.1299     N/A        0.1308     -0.1628    0.0094     10     0.1301/0.1301          0.1302/0.1299          0.1313/0.1299          SL        
951   5M   ICXUSDT      SHORT  0.0338     N/A        0.0337     0.0116     0.0106     10     0.0338/0.0338          0.0338/0.0338          0.0339/0.0338          TSL       
1062  5M   LPTUSDT      SHORT  2.0920     N/A        2.1012     -0.1084    0.0094     10     2.0940/2.0940          2.0970/2.0940          2.1130/2.0940          SL        
1042  5M   COINUSDT     SHORT  161.0894   N/A        161.4061   -0.0489    0.0090     10     161.1800/161.1800      161.2700/161.1800      161.7800/161.1800      SL        
1028  25M  CRVUSDT      SHORT  0.2149     N/A        0.2164     -0.1737    0.0095     40     0.2174/0.2150          0.2183/0.2150          0.2183/0.2150          SL        
980   20M  CRVUSDT      SHORT  0.2151     N/A        0.2164     -0.1606    0.0101     10     0.2162/0.2149          0.2183/0.2149          0.2183/0.2149          SL        
917   15M  SOLUSDT      SHORT  83.0240    N/A        83.6124    -0.1815    0.0100     20     83.2740/82.9350        83.4690/82.9350        84.2370/82.9350        SL        
1064  5M   1000SATSUSDT SHORT  0.0000     N/A        0.0000     -0.1289    0.0093     10     0.0000/0.0000          0.0000/0.0000          0.0000/0.0000          SL        
1046  5M   CRVUSDT      SHORT  0.2149     N/A        0.2162     -0.1487    0.0094     10     0.2154/0.2151          0.2155/0.2151          0.2183/0.2151          SL        
1044  5M   GALAUSDT     SHORT  0.0029     N/A        0.0029     -0.1469    0.0093     10     0.0029/0.0029          0.0029/0.0029          0.0030/0.0029          SL        
1040  5M   XPLUSDT      SHORT  0.0907     N/A        0.0913     -0.1618    0.0094     10     0.0909/0.0907          0.0911/0.0907          0.0924/0.0907          SL        
1058  5M   GMTUSDT      SHORT  0.0099     N/A        0.0099     -0.0895    0.0093     10     0.0099/0.0099          0.0099/0.0099          0.0100/0.0099          SL        
1056  5M   THETAUSDT    SHORT  0.1554     N/A        0.1557     -0.0487    0.0093     10     0.1556/0.1556          0.1556/0.1553          0.1564/0.1553          SL        
1033  5M   XAUUSDT      LONG   4497.8700  N/A        4497.3002  -0.0147    0.0180     10     4497.8600/4497.8500    4497.9000/4497.8000    4498.2900/4496.2600    SL        
1045  5M   PEOPLEUSDT   SHORT  0.0064     N/A        0.0065     -0.1643    0.0093     10     0.0064/0.0064          0.0065/0.0064          0.0066/0.0064          SL        
1059  5M   1INCHUSDT    SHORT  0.0880     N/A        0.0883     -0.0984    0.0093     10     0.0882/0.0881          0.0882/0.0881          0.0889/0.0881          SL        
870   10M  BANANAS31USDT SHORT  0.0132     N/A        0.0133     -0.2790    0.0121     10     0.0132/0.0132          0.0132/0.0131          0.0133/0.0131          SL        
1052  5M   ZROUSDT      SHORT  2.0294     N/A        2.0375     -0.1023    0.0097     10     2.0336/2.0296          2.0352/2.0296          2.0542/2.0296          SL        
1005  10M  OPNUSDT      LONG   0.1991     N/A        0.1996     0.0648     0.0101     10     0.1999/0.1984          0.2015/0.1984          0.2015/0.1982          TSL       
716   5M   INITUSDT     SHORT  0.0789     0.0784     0.0783     0.1896     0.0120     10     0.0791/0.0790          0.0791/0.0790          0.0791/0.0789          TSL       
1032  10M  ICNTUSDT     SHORT  0.4448     N/A        0.4442     0.0248     0.0096     10     0.4460/0.4445          0.4460/0.4427          0.4460/0.4404          TSL       
935   5M   ALTUSDT      SHORT  0.0063     0.0063     0.0063     0.1255     0.0107     10     0.0063/0.0063          0.0063/0.0063          0.0063/0.0063          TSL       
1048  5M   SEIUSDT      SHORT  0.0544     N/A        0.0547     -0.1131    0.0093     10     0.0545/0.0544          0.0547/0.0544          0.0550/0.0544          SL        
1049  5M   JTOUSDT      SHORT  0.2976     N/A        0.2992     -0.1357    0.0093     10     0.2988/0.2980          0.2993/0.2980          0.3001/0.2976          SL        
986   5M   ALLOUSDT     SHORT  0.1060     0.1056     0.1058     0.0845     0.0101     10     0.1062/0.1061          0.1062/0.1061          0.1062/0.1055          TSL       
938   10M  XANUSDT      SHORT  0.0087     N/A        0.0088     -0.3512    0.0107     10     0.0087/0.0086          0.0087/0.0086          0.0088/0.0086          SL        
1026  10M  ZAMAUSDT     SHORT  0.0227     N/A        0.0229     -0.1833    0.0099     10     0.0228/0.0227          0.0230/0.0227          0.0231/0.0227          SL        
1061  5M   AGLDUSDT     SHORT  0.2308     N/A        0.2316     -0.0896    0.0093     10     0.2314/0.2312          0.2322/0.2312          0.2328/0.2312          SL        
1039  5M   POWRUSDT     SHORT  0.0597     N/A        0.0598     -0.0500    0.0093     10     0.0597/0.0597          0.0599/0.0597          0.0600/0.0597          SL        
992   5M   KNCUSDT      LONG   0.1524     N/A        0.1518     -0.1035    0.0101     10     0.1522/0.1519          0.1522/0.1519          0.1522/0.1517          SL        
1018  5M   ARUSDT       LONG   1.7359     N/A        1.7268     -0.1342    0.0099     10     1.7340/1.7340          1.7340/1.7230          1.7380/1.7230          SL        
1036  10M  BABYUSDT     SHORT  0.0133     N/A        0.0133     -0.1269    0.0095     10     0.0134/0.0133          0.0134/0.0133          0.0134/0.0133          SL        
1034  5M   LUMIAUSDT    SHORT  0.0781     0.0777     0.0778     0.1080     0.0095     10     0.0782/0.0776          0.0782/0.0776          0.0782/0.0776          TSL       
1035  5M   CROUSDT      LONG   0.0724     N/A        0.0723     -0.0453    0.0095     10     0.0723/0.0723          0.0723/0.0722          0.0726/0.0722          SL        
1030  5M   XMRUSDT      LONG   329.1045   N/A        328.4172   -0.0527    0.0092     10     328.6300/327.7600      328.6300/327.2800      329.4500/327.2800      SL        
1053  5M   ZAMAUSDT     SHORT  0.0227     N/A        0.0228     -0.1010    0.0093     10     0.0228/0.0227          0.0230/0.0227          0.0230/0.0227          SL        
1065  5M   XAIUSDT      SHORT  0.0091     N/A        0.0092     -0.1211    0.0093     10     0.0092/0.0091          0.0092/0.0091          0.0092/0.0091          SL        
1060  5M   DENTUSDT     SHORT  0.0002     N/A        0.0002     -0.1277    0.0093     10     0.0002/0.0002          0.0002/0.0002          0.0002/0.0002          SL        
1011  5M   ETHFIUSDT    SHORT  0.4612     N/A        0.4606     0.0275     0.0099     10     0.4620/0.4601          0.4632/0.4590          0.4670/0.4590          TSL       
1008  5M   JASMYUSDT    LONG   0.0054     N/A        0.0054     -0.1521    0.0099     10     0.0054/0.0054          0.0054/0.0054          0.0054/0.0054          SL        
756   5M   XLMUSDT      LONG   0.1666     0.1669     0.1685     0.1992     0.0117     10     0.1666/0.1663          0.1672/0.1663          0.1691/0.1663          TSL       
1020  5M   VETUSDT      LONG   0.0068     N/A        0.0068     -0.1289    0.0099     10     0.0068/0.0068          0.0068/0.0068          0.0068/0.0068          SL        
792   20M  GRIFFAINUSDT LONG   0.0106     N/A        0.0104     -0.5692    0.0114     20     0.0107/0.0106          0.0107/0.0105          0.0107/0.0104          LIQ       
